2017-01-01 04:52:58 	 [ INFO] 	 <main.go:34>  	 map[],localhost:8081/get,&{GET /get HTTP/1.1 %!s(int=1) %!s(int=1) map[Connection:[keep-alive] Cache-Control:[no-cache] User-Agent:[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36] Postman-Token:[fdac47b4-5a25-4388-601e-7f6969fefee7] Accept:[*/*] Accept-Encoding:[gzip, deflate, sdch, br] Accept-Language:[zh-CN,zh;q=0.8,en;q=0.6]] %!s(*struct { http.eofReaderWithWriteTo; io.Closer }=&{{} {<nil>}}) %!s(int64=0) [] %!s(bool=false) localhost:8081 map[] map[] %!s(*multipart.Form=<nil>) map[] [::1]:60430 /get %!s(*tls.ConnectionState=<nil>) %!s(<-chan struct {}=<nil>) %!s(*http.Response=<nil>) %!s(*context.cancelCtx=&{0xc4201644c0 0xc420077140 {0 0} map[] <nil>})}
2017-01-01 04:53:27 	 [ INFO] 	 <main.go:34>  	 map[],localhost:8081/get
2017-01-01 04:53:37 	 [ INFO] 	 <main.go:34>  	 map[a:[1]],localhost:8081/get?a=1
2017-01-01 04:55:04 	 [ INFO] 	 <main.go:34>  	 map[a:[1]],localhost:8081/get?a=1
2017-01-01 04:55:04 	 [ INFO] 	 <main.go:34>  	 map[a:[1]],localhost:8081/get?a=1
2017-01-01 04:56:11 	 [ INFO] 	 <main.go:34>  	 map[a:[1]],localhost:8081/get?a=1
2017-01-01 04:56:11 	 [ INFO] 	 <mapis.go:20>  	 the key is not exist!
2017-01-01 04:56:12 	 [ INFO] 	 <main.go:34>  	 map[a:[1]],localhost:8081/get?a=1
2017-01-01 04:56:12 	 [ INFO] 	 <mapis.go:20>  	 the key is not exist!
2017-01-01 12:23:08 	 [ INFO] 	 <main.go:34>  	 map[a:[1]],localhost:8081/get?a=1
2017-01-01 12:23:08 	 [ INFO] 	 <mapis.go:20>  	 the key is not exist!
2017-01-01 15:38:23 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/
2017-01-01 15:38:24 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/favicon.ico
2017-01-01 15:38:26 	 [ INFO] 	 <main.go:37>  	 map[debug:[1]],127.0.0.1:8081/debug/pprof/goroutine?debug=1
2017-01-01 15:38:30 	 [ INFO] 	 <main.go:37>  	 map[debug:[1]],127.0.0.1:8081/debug/pprof/threadcreate?debug=1
2017-01-01 15:38:32 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/
2017-01-01 15:38:33 	 [ INFO] 	 <main.go:37>  	 map[debug:[2]],127.0.0.1:8081/debug/pprof/goroutine?debug=2
2017-01-01 15:38:35 	 [ INFO] 	 <main.go:37>  	 map[debug:[2]],127.0.0.1:8081/debug/pprof/goroutine?debug=2
2017-01-01 15:38:39 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/
2017-01-01 15:38:39 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/
2017-01-01 15:38:40 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/
2017-01-01 15:38:40 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/
2017-01-01 15:38:40 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/
2017-01-01 15:38:41 	 [ INFO] 	 <main.go:37>  	 map[debug:[1]],127.0.0.1:8081/debug/pprof/goroutine?debug=1
2017-01-01 15:39:20 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/symbol
2017-01-01 15:39:31 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/profile
2017-01-01 15:39:33 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/profile
2017-01-01 15:39:35 	 [ INFO] 	 <main.go:37>  	 map[],127.0.0.1:8081/debug/pprof/
2017-01-01 15:39:40 	 [ INFO] 	 <main.go:37>  	 map[debug:[1]],127.0.0.1:8081/debug/pprof/block?debug=1
