[2017/01/04T12:56:15.096+08:00] APIdoc's URL path is '/apidoc/' [check direct ip for filter] <myapp_0.1>
[2017/01/04T12:56:15.096+08:00] [SYS]     GET | /apidoc/*filepath              <myapp_0.1>
[2017/01/04T12:56:15.096+08:00] [SYS]     GET | /apidoc_swagger.json           <myapp_0.1>
[2017/01/04T12:56:15.096+08:00] [SYS]     GET | /index/:id                     <myapp_0.1>
[2017/01/04T12:56:15.096+08:00] [SYS]     GET | /static/*filepath              <myapp_0.1>
[2017/01/04T12:56:15.096+08:00] [SYS]     GET | /upload/*filepath              <myapp_0.1>
[2017/01/04T12:56:15.096+08:00] [myapp_0.1] listen and serve HTTP/HTTP2 on 0.0.0.0:8080 <myapp_0.1>
[2017/01/04T12:56:25.816+08:00] [I]       127.0.0.1     GET  404        228     34.004µs /                              |  <myapp_0.1>
[2017/01/04T12:56:26.127+08:00] [I]       127.0.0.1     GET  404        228      31.21µs /favicon.ico                   |  <myapp_0.1>
[2017/01/04T12:56:43.397+08:00] [I]       127.0.0.1     GET  404        228      68.36µs /apidoc.html                   |  <myapp_0.1>
[2017/01/04T12:56:49.587+08:00] [I]       127.0.0.1     GET  301         43     26.465µs /apidoc                        |  <myapp_0.1>
[2017/01/04T12:56:49.592+08:00] [I]       127.0.0.1     GET  200       5631    513.567µs /apidoc/                       |  <myapp_0.1>
[2017/01/04T12:56:49.616+08:00] [I]       127.0.0.1     GET  200        452    120.861µs /apidoc/css/typography.css     |  <myapp_0.1>
[2017/01/04T12:56:49.616+08:00] [I]       127.0.0.1     GET  200       1066    180.123µs /apidoc/css/reset.css          |  <myapp_0.1>
[2017/01/04T12:56:49.617+08:00] [I]       127.0.0.1     GET  200      48978   1.124268ms /apidoc/css/screen.css         |  <myapp_0.1>
[2017/01/04T12:56:49.618+08:00] [I]       127.0.0.1     GET  200        692    171.346µs /apidoc/lib/object-assign-pollyfill.js |  <myapp_0.1>
[2017/01/04T12:56:49.618+08:00] [I]       127.0.0.1     GET  200        369    116.818µs /apidoc/lib/jquery.slideto.min.js |  <myapp_0.1>
[2017/01/04T12:56:49.62+08:00] [I]       127.0.0.1     GET  200        762    178.355µs /apidoc/lib/jquery.wiggle.min.js |  <myapp_0.1>
[2017/01/04T12:56:49.621+08:00] [I]       127.0.0.1     GET  200       4119   1.174355ms /apidoc/lib/jquery.ba-bbq.min.js |  <myapp_0.1>
[2017/01/04T12:56:49.622+08:00] [I]       127.0.0.1     GET  200      92555     4.4444ms /apidoc/lib/jquery-1.8.0.min.js |  <myapp_0.1>
[2017/01/04T12:56:49.623+08:00] [I]       127.0.0.1     GET  200      43621    1.65487ms /apidoc/lib/js-yaml.min.js     |  <myapp_0.1>
[2017/01/04T12:56:49.623+08:00] [I]       127.0.0.1     GET  200      48517    1.92907ms /apidoc/lib/handlebars-2.0.0.js |  <myapp_0.1>
[2017/01/04T12:56:49.623+08:00] [I]       127.0.0.1     GET  200      20390      914.3µs /apidoc/lib/backbone-min.js    |  <myapp_0.1>
